Student_id,Name,Subject,Type,Internal,External,Attendance
101,Amit,DSBDA,TH,6,12,49
101,Amit,DSBDA_Lab,PR,16,56,94
101,Amit,IS,TH,21,36,61
101,Amit,IS_Lab,PR,18,51,98
101,Amit,AI,TH,5,18,49
101,Amit,WT,TH,19,60,60
102,Neha,DSBDA,TH,26,55,77
102,Neha,DSBDA_Lab,PR,25,48,65
102,Neha,IS,TH,25,56,98
102,Neha,IS_Lab,PR,20,68,89
102,Neha,AI,TH,26,47,95
102,Neha,WT,TH,30,64,83
103,Rohan,DSBDA,TH,15,56,74
103,Rohan,DSBDA_Lab,PR,16,42,66
103,Rohan,IS,TH,22,55,83
103,Rohan,IS_Lab,PR,20,41,77
103,Rohan,AI,TH,25,55,64
103,Rohan,WT,TH,17,52,75
104,Priya,DSBDA,TH,17,45,74
104,Priya,DSBDA_Lab,PR,18,29,74
104,Priya,IS,TH,18,38,85
104,Priya,IS_Lab,PR,13,38,73
104,Priya,AI,TH,15,42,69
104,Priya,WT,TH,13,45,94
105,Rahul,DSBDA,TH,16,40,83
105,Rahul,DSBDA_Lab,PR,13,44,91
105,Rahul,IS,TH,12,31,69
105,Rahul,IS_Lab,PR,18,41,98
105,Rahul,AI,TH,15,42,93
105,Rahul,WT,TH,16,28,67
106,Anjali,DSBDA,TH,19,59,81
106,Anjali,DSBDA_Lab,PR,21,40,89
106,Anjali,IS,TH,6,10,67
106,Anjali,IS_Lab,PR,25,44,92
106,Anjali,AI,TH,17,46,70
106,Anjali,WT,TH,23,35,98
107,Vikram,DSBDA,TH,7,14,50
107,Vikram,DSBDA_Lab,PR,11,7,40
107,Vikram,IS,TH,16,59,94
107,Vikram,IS_Lab,PR,17,56,90
107,Vikram,AI,TH,17,43,93
107,Vikram,WT,TH,21,41,94
108,Sneha,DSBDA,TH,24,57,83
108,Sneha,DSBDA_Lab,PR,28,59,67
108,Sneha,IS,TH,21,55,61
108,Sneha,IS_Lab,PR,23,63,74
108,Sneha,AI,TH,12,6,49
108,Sneha,WT,TH,20,55,64
109,Karan,DSBDA,TH,22,41,94
109,Karan,DSBDA_Lab,PR,24,53,90
109,Karan,IS,TH,22,60,86
109,Karan,IS_Lab,PR,16,56,87
109,Karan,AI,TH,21,49,63
109,Karan,WT,TH,25,38,63
110,Pooja,DSBDA,TH,16,42,72
110,Pooja,DSBDA_Lab,PR,22,39,87
110,Pooja,IS,TH,22,42,64
110,Pooja,IS_Lab,PR,23,38,63
110,Pooja,AI,TH,23,35,65
110,Pooja,WT,TH,18,40,86
111,Arjun,DSBDA,TH,21,36,70
111,Arjun,DSBDA_Lab,PR,21,43,89
111,Arjun,IS,TH,23,56,91
111,Arjun,IS_Lab,PR,19,41,63
111,Arjun,AI,TH,23,36,80
111,Arjun,WT,TH,11,20,67
112,Kavya,DSBDA,TH,20,61,65
112,Kavya,DSBDA_Lab,PR,21,64,64
112,Kavya,IS,TH,23,57,67
112,Kavya,IS_Lab,PR,29,52,97
112,Kavya,AI,TH,29,47,86
112,Kavya,WT,TH,29,61,80
113,Siddharth,DSBDA,TH,25,52,76
113,Siddharth,DSBDA_Lab,PR,30,65,79
113,Siddharth,IS,TH,21,45,89
113,Siddharth,IS_Lab,PR,29,48,64
113,Siddharth,AI,TH,28,53,68
113,Siddharth,WT,TH,21,52,83
114,Aarti,DSBDA,TH,16,37,93
114,Aarti,DSBDA_Lab,PR,10,14,41
114,Aarti,IS,TH,13,36,67
114,Aarti,IS_Lab,PR,17,45,69
114,Aarti,AI,TH,16,34,81
114,Aarti,WT,TH,17,36,92
115,Aditya,DSBDA,TH,15,37,87
115,Aditya,DSBDA_Lab,PR,15,35,81
115,Aditya,IS,TH,25,43,70
115,Aditya,IS_Lab,PR,23,57,87
115,Aditya,AI,TH,16,37,69
115,Aditya,WT,TH,20,53,95
116,Riya,DSBDA,TH,14,39,62
116,Riya,DSBDA_Lab,PR,13,35,66
116,Riya,IS,TH,16,41,69
116,Riya,IS_Lab,PR,13,33,71
116,Riya,AI,TH,12,33,81
116,Riya,WT,TH,15,35,77
117,Rishabh,DSBDA,TH,15,29,90
117,Rishabh,DSBDA_Lab,PR,18,42,82
117,Rishabh,IS,TH,18,35,74
117,Rishabh,IS_Lab,PR,5,17,56
117,Rishabh,AI,TH,12,36,82
117,Rishabh,WT,TH,15,45,81
118,Nisha,DSBDA,TH,24,50,97
118,Nisha,DSBDA_Lab,PR,24,46,66
118,Nisha,IS,TH,25,68,80
118,Nisha,IS_Lab,PR,28,48,84
118,Nisha,AI,TH,23,53,62
118,Nisha,WT,TH,20,61,94
119,Saurabh,DSBDA,TH,25,41,83
119,Saurabh,DSBDA_Lab,PR,25,45,80
119,Saurabh,IS,TH,16,58,79
119,Saurabh,IS_Lab,PR,25,48,80
119,Saurabh,AI,TH,19,52,68
119,Saurabh,WT,TH,25,47,71
120,Divya,DSBDA,TH,23,35,79
120,Divya,DSBDA_Lab,PR,21,60,97
120,Divya,IS,TH,20,49,88
120,Divya,IS_Lab,PR,18,51,90
120,Divya,AI,TH,17,56,65
120,Divya,WT,TH,25,55,81
121,Gaurav,DSBDA,TH,13,37,74
121,Gaurav,DSBDA_Lab,PR,13,28,62
121,Gaurav,IS,TH,15,30,89
121,Gaurav,IS_Lab,PR,17,34,84
121,Gaurav,AI,TH,13,32,60
121,Gaurav,WT,TH,18,31,87
122,Megha,DSBDA,TH,17,44,89
122,Megha,DSBDA_Lab,PR,5,8,64
122,Megha,IS,TH,15,44,95
122,Megha,IS_Lab,PR,18,42,92
122,Megha,AI,TH,16,42,70
122,Megha,WT,TH,15,42,76
123,Manish,DSBDA,TH,24,69,93
123,Manish,DSBDA_Lab,PR,23,53,88
123,Manish,IS,TH,24,52,77
123,Manish,IS_Lab,PR,28,47,68
123,Manish,AI,TH,26,67,69
123,Manish,WT,TH,21,58,86
124,Swati,DSBDA,TH,15,41,86
124,Swati,DSBDA_Lab,PR,24,57,61
124,Swati,IS,TH,24,47,90
124,Swati,IS_Lab,PR,7,14,59
124,Swati,AI,TH,21,52,94
124,Swati,WT,TH,18,50,74
125,Nitin,DSBDA,TH,15,38,85
125,Nitin,DSBDA_Lab,PR,18,42,68
125,Nitin,IS,TH,16,28,85
125,Nitin,IS_Lab,PR,17,28,65
125,Nitin,AI,TH,13,42,71
125,Nitin,WT,TH,8,15,48
126,Kirti,DSBDA,TH,21,43,86
126,Kirti,DSBDA_Lab,PR,16,50,61
126,Kirti,IS,TH,15,46,74
126,Kirti,IS_Lab,PR,25,36,61
126,Kirti,AI,TH,18,35,69
126,Kirti,WT,TH,22,56,67
127,Harsh,DSBDA,TH,19,59,83
127,Harsh,DSBDA_Lab,PR,24,58,67
127,Harsh,IS,TH,17,44,66
127,Harsh,IS_Lab,PR,19,53,84
127,Harsh,AI,TH,18,37,97
127,Harsh,WT,TH,25,42,66
128,Shruti,DSBDA,TH,25,54,67
128,Shruti,DSBDA_Lab,PR,24,60,62
128,Shruti,IS,TH,21,56,83
128,Shruti,IS_Lab,PR,25,45,60
128,Shruti,AI,TH,22,38,87
128,Shruti,WT,TH,25,49,69
129,Akash,DSBDA,TH,25,43,94
129,Akash,DSBDA_Lab,PR,22,48,97
129,Akash,IS,TH,18,37,77
129,Akash,IS_Lab,PR,18,59,89
129,Akash,AI,TH,25,47,81
129,Akash,WT,TH,7,10,66
130,Shivani,DSBDA,TH,14,36,98
130,Shivani,DSBDA_Lab,PR,14,45,60
130,Shivani,IS,TH,13,30,75
130,Shivani,IS_Lab,PR,15,45,75
130,Shivani,AI,TH,17,43,88
130,Shivani,WT,TH,12,37,74
131,Varun,DSBDA,TH,25,53,83
131,Varun,DSBDA_Lab,PR,23,46,87
131,Varun,IS,TH,23,45,82
131,Varun,IS_Lab,PR,19,44,76
131,Varun,AI,TH,18,45,67
131,Varun,WT,TH,17,41,73
132,Pallavi,DSBDA,TH,29,69,93
132,Pallavi,DSBDA_Lab,PR,21,51,78
132,Pallavi,IS,TH,22,54,60
132,Pallavi,IS_Lab,PR,22,53,62
132,Pallavi,AI,TH,28,54,68
132,Pallavi,WT,TH,27,48,60
133,Mohit,DSBDA,TH,22,45,71
133,Mohit,DSBDA_Lab,PR,19,50,67
133,Mohit,IS,TH,21,50,64
133,Mohit,IS_Lab,PR,25,36,69
133,Mohit,AI,TH,24,44,65
133,Mohit,WT,TH,16,52,86
134,Tanvi,DSBDA,TH,18,59,93
134,Tanvi,DSBDA_Lab,PR,22,44,97
134,Tanvi,IS,TH,19,53,63
134,Tanvi,IS_Lab,PR,16,59,73
134,Tanvi,AI,TH,19,56,65
134,Tanvi,WT,TH,17,52,64
135,Deepak,DSBDA,TH,17,43,78
135,Deepak,DSBDA_Lab,PR,6,14,64
135,Deepak,IS,TH,13,36,97
135,Deepak,IS_Lab,PR,13,41,67
135,Deepak,AI,TH,17,32,77
135,Deepak,WT,TH,12,29,70
136,Sonal,DSBDA,TH,29,54,88
136,Sonal,DSBDA_Lab,PR,24,67,85
136,Sonal,IS,TH,28,62,91
136,Sonal,IS_Lab,PR,29,46,87
